densidad,idx,final_best,found_at,archivo
0.1,1,61,1.909996,new_1000_dataset/erdos_n1000_p0c0.1_1.graph
0.1,2,60,0.047667,new_1000_dataset/erdos_n1000_p0c0.1_2.graph
0.1,3,60,0.264025,new_1000_dataset/erdos_n1000_p0c0.1_3.graph
0.1,4,59,4.112614,new_1000_dataset/erdos_n1000_p0c0.1_4.graph
0.1,5,59,1.353250,new_1000_dataset/erdos_n1000_p0c0.1_5.graph
0.1,6,61,0.359720,new_1000_dataset/erdos_n1000_p0c0.1_6.graph
0.1,7,64,1.883230,new_1000_dataset/erdos_n1000_p0c0.1_7.graph
0.1,8,59,0.448880,new_1000_dataset/erdos_n1000_p0c0.1_8.graph
0.1,9,60,1.966439,new_1000_dataset/erdos_n1000_p0c0.1_9.graph
0.1,10,57,0.142850,new_1000_dataset/erdos_n1000_p0c0.1_10.graph
0.1,11,62,0.992481,new_1000_dataset/erdos_n1000_p0c0.1_11.graph
0.1,12,60,0.073197,new_1000_dataset/erdos_n1000_p0c0.1_12.graph
0.1,13,60,0.336396,new_1000_dataset/erdos_n1000_p0c0.1_13.graph
0.1,14,58,0.042740,new_1000_dataset/erdos_n1000_p0c0.1_14.graph
0.1,15,61,3.768856,new_1000_dataset/erdos_n1000_p0c0.1_15.graph
0.1,16,59,3.179724,new_1000_dataset/erdos_n1000_p0c0.1_16.graph
0.1,17,61,3.360576,new_1000_dataset/erdos_n1000_p0c0.1_17.graph
0.1,18,60,0.215995,new_1000_dataset/erdos_n1000_p0c0.1_18.graph
0.1,19,59,0.011473,new_1000_dataset/erdos_n1000_p0c0.1_19.graph
0.1,20,59,1.910575,new_1000_dataset/erdos_n1000_p0c0.1_20.graph
0.1,21,58,0.492297,new_1000_dataset/erdos_n1000_p0c0.1_21.graph
0.1,22,60,1.968387,new_1000_dataset/erdos_n1000_p0c0.1_22.graph
0.1,23,59,0.918556,new_1000_dataset/erdos_n1000_p0c0.1_23.graph
0.1,24,59,1.970539,new_1000_dataset/erdos_n1000_p0c0.1_24.graph
0.1,25,61,0.968261,new_1000_dataset/erdos_n1000_p0c0.1_25.graph
0.1,26,61,0.367835,new_1000_dataset/erdos_n1000_p0c0.1_26.graph
0.1,27,58,0.018845,new_1000_dataset/erdos_n1000_p0c0.1_27.graph
0.1,28,58,1.181867,new_1000_dataset/erdos_n1000_p0c0.1_28.graph
0.1,29,58,5.984285,new_1000_dataset/erdos_n1000_p0c0.1_29.graph
0.1,30,62,2.237984,new_1000_dataset/erdos_n1000_p0c0.1_30.graph
0.2,1,33,6.128785,new_1000_dataset/erdos_n1000_p0c0.2_1.graph
0.2,2,35,0.100181,new_1000_dataset/erdos_n1000_p0c0.2_2.graph
0.2,3,33,0.369630,new_1000_dataset/erdos_n1000_p0c0.2_3.graph
0.2,4,32,0.162138,new_1000_dataset/erdos_n1000_p0c0.2_4.graph
0.2,5,34,0.460766,new_1000_dataset/erdos_n1000_p0c0.2_5.graph
0.2,6,35,0.242950,new_1000_dataset/erdos_n1000_p0c0.2_6.graph
0.2,7,34,2.974705,new_1000_dataset/erdos_n1000_p0c0.2_7.graph
0.2,8,31,0.121706,new_1000_dataset/erdos_n1000_p0c0.2_8.graph
0.2,9,35,8.706719,new_1000_dataset/erdos_n1000_p0c0.2_9.graph
0.2,10,33,3.574403,new_1000_dataset/erdos_n1000_p0c0.2_10.graph
0.2,11,33,1.566398,new_1000_dataset/erdos_n1000_p0c0.2_11.graph
0.2,12,32,1.171822,new_1000_dataset/erdos_n1000_p0c0.2_12.graph
0.2,13,32,0.228792,new_1000_dataset/erdos_n1000_p0c0.2_13.graph
0.2,14,33,0.610978,new_1000_dataset/erdos_n1000_p0c0.2_14.graph
0.2,15,33,0.164562,new_1000_dataset/erdos_n1000_p0c0.2_15.graph
0.2,16,34,0.071086,new_1000_dataset/erdos_n1000_p0c0.2_16.graph
0.2,17,31,0.172026,new_1000_dataset/erdos_n1000_p0c0.2_17.graph
0.2,18,33,0.755421,new_1000_dataset/erdos_n1000_p0c0.2_18.graph
0.2,19,32,0.202802,new_1000_dataset/erdos_n1000_p0c0.2_19.graph
0.2,20,34,3.468279,new_1000_dataset/erdos_n1000_p0c0.2_20.graph
0.2,21,31,0.123582,new_1000_dataset/erdos_n1000_p0c0.2_21.graph
0.2,22,34,8.699175,new_1000_dataset/erdos_n1000_p0c0.2_22.graph
0.2,23,31,0.000850,new_1000_dataset/erdos_n1000_p0c0.2_23.graph
0.2,24,31,0.222591,new_1000_dataset/erdos_n1000_p0c0.2_24.graph
0.2,25,33,0.001541,new_1000_dataset/erdos_n1000_p0c0.2_25.graph
0.2,26,33,0.005514,new_1000_dataset/erdos_n1000_p0c0.2_26.graph
0.2,27,32,1.213503,new_1000_dataset/erdos_n1000_p0c0.2_27.graph
0.2,28,34,0.440896,new_1000_dataset/erdos_n1000_p0c0.2_28.graph
0.2,29,32,0.014141,new_1000_dataset/erdos_n1000_p0c0.2_29.graph
0.2,30,33,1.325620,new_1000_dataset/erdos_n1000_p0c0.2_30.graph
0.3,1,21,0.000825,new_1000_dataset/erdos_n1000_p0c0.3_1.graph
0.3,2,23,0.005854,new_1000_dataset/erdos_n1000_p0c0.3_2.graph
0.3,3,23,0.284680,new_1000_dataset/erdos_n1000_p0c0.3_3.graph
0.3,4,23,0.155058,new_1000_dataset/erdos_n1000_p0c0.3_4.graph
0.3,5,22,0.000600,new_1000_dataset/erdos_n1000_p0c0.3_5.graph
0.3,6,22,0.172327,new_1000_dataset/erdos_n1000_p0c0.3_6.graph
0.3,7,24,2.670726,new_1000_dataset/erdos_n1000_p0c0.3_7.graph
0.3,8,22,0.325832,new_1000_dataset/erdos_n1000_p0c0.3_8.graph
0.3,9,22,0.157516,new_1000_dataset/erdos_n1000_p0c0.3_9.graph
0.3,10,23,0.017799,new_1000_dataset/erdos_n1000_p0c0.3_10.graph
0.3,11,23,0.192957,new_1000_dataset/erdos_n1000_p0c0.3_11.graph
