densidad,idx,solucion,tiempo,archivo
0.1,1,69,0.102479,new_3000_dataset/erdos_n3000_p0c0.1_1.graph
0.1,2,69,0.0790452,new_3000_dataset/erdos_n3000_p0c0.1_2.graph
0.1,3,65,0.0735896,new_3000_dataset/erdos_n3000_p0c0.1_3.graph
0.1,4,67,0.0792664,new_3000_dataset/erdos_n3000_p0c0.1_4.graph
0.1,5,67,0.0738422,new_3000_dataset/erdos_n3000_p0c0.1_5.graph
0.1,6,66,0.0753802,new_3000_dataset/erdos_n3000_p0c0.1_6.graph
0.1,7,68,0.0726811,new_3000_dataset/erdos_n3000_p0c0.1_7.graph
0.1,8,68,0.0750381,new_3000_dataset/erdos_n3000_p0c0.1_8.graph
0.1,9,70,0.0738104,new_3000_dataset/erdos_n3000_p0c0.1_9.graph
0.1,10,67,0.0765889,new_3000_dataset/erdos_n3000_p0c0.1_10.graph
0.1,11,64,0.0839326,new_3000_dataset/erdos_n3000_p0c0.1_11.graph
0.1,12,67,0.0742532,new_3000_dataset/erdos_n3000_p0c0.1_12.graph
0.1,13,66,0.0748896,new_3000_dataset/erdos_n3000_p0c0.1_13.graph
0.1,14,69,0.0905832,new_3000_dataset/erdos_n3000_p0c0.1_14.graph
0.1,15,69,0.075511,new_3000_dataset/erdos_n3000_p0c0.1_15.graph
0.1,16,64,0.0763911,new_3000_dataset/erdos_n3000_p0c0.1_16.graph
0.1,17,64,0.0758915,new_3000_dataset/erdos_n3000_p0c0.1_17.graph
0.1,18,66,0.0769387,new_3000_dataset/erdos_n3000_p0c0.1_18.graph
0.1,19,68,0.0740827,new_3000_dataset/erdos_n3000_p0c0.1_19.graph
0.1,20,66,0.0731817,new_3000_dataset/erdos_n3000_p0c0.1_20.graph
0.1,21,63,0.0829917,new_3000_dataset/erdos_n3000_p0c0.1_21.graph
0.1,22,69,0.0744301,new_3000_dataset/erdos_n3000_p0c0.1_22.graph
0.1,23,68,0.0738491,new_3000_dataset/erdos_n3000_p0c0.1_23.graph
0.1,24,69,0.0760223,new_3000_dataset/erdos_n3000_p0c0.1_24.graph
0.1,25,64,0.0811245,new_3000_dataset/erdos_n3000_p0c0.1_25.graph
0.1,26,66,0.0824519,new_3000_dataset/erdos_n3000_p0c0.1_26.graph
