densidad,idx,solucion,tiempo,archivo
0.1,1,57,0.0178282,new_1000_dataset/erdos_n1000_p0c0.1_1.graph
0.1,2,61,0.00958889,new_1000_dataset/erdos_n1000_p0c0.1_2.graph
0.1,3,59,0.0179557,new_1000_dataset/erdos_n1000_p0c0.1_3.graph
0.1,4,58,0.00936519,new_1000_dataset/erdos_n1000_p0c0.1_4.graph
0.1,5,60,0.0129174,new_1000_dataset/erdos_n1000_p0c0.1_5.graph
0.1,6,60,0.00930726,new_1000_dataset/erdos_n1000_p0c0.1_6.graph
0.1,7,54,0.0089687,new_1000_dataset/erdos_n1000_p0c0.1_7.graph
0.1,8,57,0.00960294,new_1000_dataset/erdos_n1000_p0c0.1_8.graph
0.1,9,55,0.0116828,new_1000_dataset/erdos_n1000_p0c0.1_9.graph
0.1,10,60,0.0152412,new_1000_dataset/erdos_n1000_p0c0.1_10.graph
0.1,11,60,0.019125,new_1000_dataset/erdos_n1000_p0c0.1_11.graph
0.1,12,58,0.0146473,new_1000_dataset/erdos_n1000_p0c0.1_12.graph
0.1,13,57,0.00897445,new_1000_dataset/erdos_n1000_p0c0.1_13.graph
0.1,14,57,0.0210006,new_1000_dataset/erdos_n1000_p0c0.1_14.graph
0.1,15,60,0.0246444,new_1000_dataset/erdos_n1000_p0c0.1_15.graph
0.1,16,58,0.0194392,new_1000_dataset/erdos_n1000_p0c0.1_16.graph
0.1,17,58,0.0191329,new_1000_dataset/erdos_n1000_p0c0.1_17.graph
0.1,18,55,0.0130016,new_1000_dataset/erdos_n1000_p0c0.1_18.graph
0.1,19,57,0.0187003,new_1000_dataset/erdos_n1000_p0c0.1_19.graph
0.1,20,60,0.0114079,new_1000_dataset/erdos_n1000_p0c0.1_20.graph
0.1,21,58,0.0130631,new_1000_dataset/erdos_n1000_p0c0.1_21.graph
0.1,22,57,0.00920632,new_1000_dataset/erdos_n1000_p0c0.1_22.graph
0.1,23,58,0.010271,new_1000_dataset/erdos_n1000_p0c0.1_23.graph
0.1,24,59,0.0219151,new_1000_dataset/erdos_n1000_p0c0.1_24.graph
0.1,25,60,0.0132642,new_1000_dataset/erdos_n1000_p0c0.1_25.graph
0.1,26,59,0.0248887,new_1000_dataset/erdos_n1000_p0c0.1_26.graph
0.1,27,59,0.0302637,new_1000_dataset/erdos_n1000_p0c0.1_27.graph
0.1,28,58,0.0283883,new_1000_dataset/erdos_n1000_p0c0.1_28.graph
0.1,29,58,0.0293882,new_1000_dataset/erdos_n1000_p0c0.1_29.graph
0.1,30,57,0.0292598,new_1000_dataset/erdos_n1000_p0c0.1_30.graph
0.2,1,33,0.0295039,new_1000_dataset/erdos_n1000_p0c0.2_1.graph
0.2,2,30,0.0426179,new_1000_dataset/erdos_n1000_p0c0.2_2.graph
0.2,3,30,0.0322266,new_1000_dataset/erdos_n1000_p0c0.2_3.graph
0.2,4,32,0.0203771,new_1000_dataset/erdos_n1000_p0c0.2_4.graph
0.2,5,32,0.0218995,new_1000_dataset/erdos_n1000_p0c0.2_5.graph
0.2,6,33,0.0292282,new_1000_dataset/erdos_n1000_p0c0.2_6.graph
0.2,7,32,0.0316827,new_1000_dataset/erdos_n1000_p0c0.2_7.graph
0.2,8,31,0.0284789,new_1000_dataset/erdos_n1000_p0c0.2_8.graph
0.2,9,33,0.02457,new_1000_dataset/erdos_n1000_p0c0.2_9.graph
0.2,10,32,0.0200861,new_1000_dataset/erdos_n1000_p0c0.2_10.graph
0.2,11,33,0.0329287,new_1000_dataset/erdos_n1000_p0c0.2_11.graph
0.2,12,33,0.0209712,new_1000_dataset/erdos_n1000_p0c0.2_12.graph
0.2,13,33,0.0282828,new_1000_dataset/erdos_n1000_p0c0.2_13.graph
0.2,14,32,0.0340154,new_1000_dataset/erdos_n1000_p0c0.2_14.graph
0.2,15,31,0.0450911,new_1000_dataset/erdos_n1000_p0c0.2_15.graph
0.2,16,31,0.0260364,new_1000_dataset/erdos_n1000_p0c0.2_16.graph
0.2,17,30,0.0478601,new_1000_dataset/erdos_n1000_p0c0.2_17.graph
0.2,18,32,0.0625553,new_1000_dataset/erdos_n1000_p0c0.2_18.graph
0.2,19,31,0.035612,new_1000_dataset/erdos_n1000_p0c0.2_19.graph
0.2,20,34,0.0320495,new_1000_dataset/erdos_n1000_p0c0.2_20.graph
0.2,21,31,0.038111,new_1000_dataset/erdos_n1000_p0c0.2_21.graph
0.2,22,32,0.0680723,new_1000_dataset/erdos_n1000_p0c0.2_22.graph
0.2,23,32,0.0524255,new_1000_dataset/erdos_n1000_p0c0.2_23.graph
0.2,24,30,0.0199915,new_1000_dataset/erdos_n1000_p0c0.2_24.graph
0.2,25,32,0.0384268,new_1000_dataset/erdos_n1000_p0c0.2_25.graph
0.2,26,32,0.0478331,new_1000_dataset/erdos_n1000_p0c0.2_26.graph
0.2,27,32,0.0229225,new_1000_dataset/erdos_n1000_p0c0.2_27.graph
0.2,28,31,0.0204022,new_1000_dataset/erdos_n1000_p0c0.2_28.graph
0.2,29,31,0.0284914,new_1000_dataset/erdos_n1000_p0c0.2_29.graph
0.2,30,31,0.020587,new_1000_dataset/erdos_n1000_p0c0.2_30.graph
0.3,1,21,0.0326378,new_1000_dataset/erdos_n1000_p0c0.3_1.graph
0.3,2,22,0.038071,new_1000_dataset/erdos_n1000_p0c0.3_2.graph
0.3,3,21,0.0464664,new_1000_dataset/erdos_n1000_p0c0.3_3.graph
0.3,4,21,0.0315829,new_1000_dataset/erdos_n1000_p0c0.3_4.graph
0.3,5,20,0.0317765,new_1000_dataset/erdos_n1000_p0c0.3_5.graph
0.3,6,21,0.0462703,new_1000_dataset/erdos_n1000_p0c0.3_6.graph
0.3,7,22,0.0402232,new_1000_dataset/erdos_n1000_p0c0.3_7.graph
0.3,8,21,0.0343505,new_1000_dataset/erdos_n1000_p0c0.3_8.graph
0.3,9,21,0.0326799,new_1000_dataset/erdos_n1000_p0c0.3_9.graph
0.3,10,21,0.0402616,new_1000_dataset/erdos_n1000_p0c0.3_10.graph
0.3,11,20,0.0498643,new_1000_dataset/erdos_n1000_p0c0.3_11.graph
0.3,12,22,0.028378,new_1000_dataset/erdos_n1000_p0c0.3_12.graph
0.3,13,21,0.0277219,new_1000_dataset/erdos_n1000_p0c0.3_13.graph
0.3,14,22,0.0324168,new_1000_dataset/erdos_n1000_p0c0.3_14.graph
0.3,15,21,0.0330261,new_1000_dataset/erdos_n1000_p0c0.3_15.graph
0.3,16,21,0.0348687,new_1000_dataset/erdos_n1000_p0c0.3_16.graph
0.3,17,21,0.0313367,new_1000_dataset/erdos_n1000_p0c0.3_17.graph
0.3,18,21,0.0279165,new_1000_dataset/erdos_n1000_p0c0.3_18.graph
0.3,19,21,0.0367981,new_1000_dataset/erdos_n1000_p0c0.3_19.graph
0.3,20,21,0.0379199,new_1000_dataset/erdos_n1000_p0c0.3_20.graph
0.3,21,21,0.031206,new_1000_dataset/erdos_n1000_p0c0.3_21.graph
0.3,22,22,0.0328244,new_1000_dataset/erdos_n1000_p0c0.3_22.graph
0.3,23,21,0.0378586,new_1000_dataset/erdos_n1000_p0c0.3_23.graph
0.3,24,23,0.0376361,new_1000_dataset/erdos_n1000_p0c0.3_24.graph
0.3,25,22,0.0526297,new_1000_dataset/erdos_n1000_p0c0.3_25.graph
0.3,26,23,0.0287849,new_1000_dataset/erdos_n1000_p0c0.3_26.graph
0.3,27,22,0.0288832,new_1000_dataset/erdos_n1000_p0c0.3_27.graph
0.3,28,23,0.0334342,new_1000_dataset/erdos_n1000_p0c0.3_28.graph
0.3,29,20,0.0365514,new_1000_dataset/erdos_n1000_p0c0.3_29.graph
0.3,30,22,0.0340251,new_1000_dataset/erdos_n1000_p0c0.3_30.graph
0.4,1,17,0.0455982,new_1000_dataset/erdos_n1000_p0c0.4_1.graph
0.4,2,16,0.0472848,new_1000_dataset/erdos_n1000_p0c0.4_2.graph
0.4,3,17,0.042219,new_1000_dataset/erdos_n1000_p0c0.4_3.graph
0.4,4,15,0.0597677,new_1000_dataset/erdos_n1000_p0c0.4_4.graph
0.4,5,16,0.0537747,new_1000_dataset/erdos_n1000_p0c0.4_5.graph
0.4,6,16,0.0422215,new_1000_dataset/erdos_n1000_p0c0.4_6.graph
0.4,7,17,0.0518323,new_1000_dataset/erdos_n1000_p0c0.4_7.graph
0.4,8,16,0.0395008,new_1000_dataset/erdos_n1000_p0c0.4_8.graph
0.4,9,16,0.0476009,new_1000_dataset/erdos_n1000_p0c0.4_9.graph
0.4,10,16,0.0401964,new_1000_dataset/erdos_n1000_p0c0.4_10.graph
0.4,11,16,0.0457586,new_1000_dataset/erdos_n1000_p0c0.4_11.graph
0.4,12,15,0.0668957,new_1000_dataset/erdos_n1000_p0c0.4_12.graph
0.4,13,17,0.0661861,new_1000_dataset/erdos_n1000_p0c0.4_13.graph
0.4,14,15,0.0497454,new_1000_dataset/erdos_n1000_p0c0.4_14.graph
0.4,15,16,0.0513258,new_1000_dataset/erdos_n1000_p0c0.4_15.graph
0.4,16,16,0.0611239,new_1000_dataset/erdos_n1000_p0c0.4_16.graph
0.4,17,15,0.0477952,new_1000_dataset/erdos_n1000_p0c0.4_17.graph
0.4,18,18,0.0441432,new_1000_dataset/erdos_n1000_p0c0.4_18.graph
0.4,19,16,0.0510655,new_1000_dataset/erdos_n1000_p0c0.4_19.graph
0.4,20,15,0.0490525,new_1000_dataset/erdos_n1000_p0c0.4_20.graph
0.4,21,16,0.0359415,new_1000_dataset/erdos_n1000_p0c0.4_21.graph
0.4,22,18,0.0382371,new_1000_dataset/erdos_n1000_p0c0.4_22.graph
0.4,23,16,0.0361253,new_1000_dataset/erdos_n1000_p0c0.4_23.graph
0.4,24,16,0.0455731,new_1000_dataset/erdos_n1000_p0c0.4_24.graph
0.4,25,16,0.0512134,new_1000_dataset/erdos_n1000_p0c0.4_25.graph
0.4,26,16,0.0442549,new_1000_dataset/erdos_n1000_p0c0.4_26.graph
0.4,27,17,0.0517945,new_1000_dataset/erdos_n1000_p0c0.4_27.graph
0.4,28,16,0.0655675,new_1000_dataset/erdos_n1000_p0c0.4_28.graph
0.4,29,15,0.0496655,new_1000_dataset/erdos_n1000_p0c0.4_29.graph
0.4,30,16,0.0425678,new_1000_dataset/erdos_n1000_p0c0.4_30.graph
0.5,1,12,0.0486326,new_1000_dataset/erdos_n1000_p0c0.5_1.graph
0.5,2,13,0.0535318,new_1000_dataset/erdos_n1000_p0c0.5_2.graph
0.5,3,13,0.0453521,new_1000_dataset/erdos_n1000_p0c0.5_3.graph
0.5,4,12,0.0511836,new_1000_dataset/erdos_n1000_p0c0.5_4.graph
0.5,5,11,0.0649015,new_1000_dataset/erdos_n1000_p0c0.5_5.graph
0.5,6,12,0.0634981,new_1000_dataset/erdos_n1000_p0c0.5_6.graph
