densidad,idx,final_best,found_at,archivo
0.1,1,70,0.002538,new_3000_dataset/erdos_n3000_p0c0.1_1.graph
0.1,2,71,6.282992,new_3000_dataset/erdos_n3000_p0c0.1_2.graph
0.1,3,68,0.012700,new_3000_dataset/erdos_n3000_p0c0.1_3.graph
0.1,4,70,0.038847,new_3000_dataset/erdos_n3000_p0c0.1_4.graph
0.1,5,67,0.134446,new_3000_dataset/erdos_n3000_p0c0.1_5.graph
0.1,6,70,1.431098,new_3000_dataset/erdos_n3000_p0c0.1_6.graph
0.1,7,70,2.447692,new_3000_dataset/erdos_n3000_p0c0.1_7.graph
0.1,8,71,9.879609,new_3000_dataset/erdos_n3000_p0c0.1_8.graph
0.1,9,74,1.408428,new_3000_dataset/erdos_n3000_p0c0.1_9.graph
0.1,10,70,0.353330,new_3000_dataset/erdos_n3000_p0c0.1_10.graph
0.1,11,71,2.684128,new_3000_dataset/erdos_n3000_p0c0.1_11.graph
0.1,12,69,0.680523,new_3000_dataset/erdos_n3000_p0c0.1_12.graph
0.1,13,70,0.396922,new_3000_dataset/erdos_n3000_p0c0.1_13.graph
0.1,14,71,2.897716,new_3000_dataset/erdos_n3000_p0c0.1_14.graph
0.1,15,69,0.498698,new_3000_dataset/erdos_n3000_p0c0.1_15.graph
0.1,16,68,0.493278,new_3000_dataset/erdos_n3000_p0c0.1_16.graph
0.1,17,70,2.398580,new_3000_dataset/erdos_n3000_p0c0.1_17.graph
0.1,18,70,1.334794,new_3000_dataset/erdos_n3000_p0c0.1_18.graph
0.1,19,70,2.185248,new_3000_dataset/erdos_n3000_p0c0.1_19.graph
0.1,20,68,0.125286,new_3000_dataset/erdos_n3000_p0c0.1_20.graph
0.1,21,71,0.361165,new_3000_dataset/erdos_n3000_p0c0.1_21.graph
0.1,22,71,0.588840,new_3000_dataset/erdos_n3000_p0c0.1_22.graph
0.1,23,69,0.643086,new_3000_dataset/erdos_n3000_p0c0.1_23.graph
0.1,24,69,3.395770,new_3000_dataset/erdos_n3000_p0c0.1_24.graph
0.1,25,68,0.031588,new_3000_dataset/erdos_n3000_p0c0.1_25.graph
0.1,26,69,0.341011,new_3000_dataset/erdos_n3000_p0c0.1_26.graph
0.1,27,70,1.813182,new_3000_dataset/erdos_n3000_p0c0.1_27.graph
0.1,28,70,0.893330,new_3000_dataset/erdos_n3000_p0c0.1_28.graph
0.1,29,75,0.192547,new_3000_dataset/erdos_n3000_p0c0.1_29.graph
0.1,30,71,2.714010,new_3000_dataset/erdos_n3000_p0c0.1_30.graph
0.2,1,39,3.725384,new_3000_dataset/erdos_n3000_p0c0.2_1.graph
0.2,2,39,0.583361,new_3000_dataset/erdos_n3000_p0c0.2_2.graph
0.2,3,39,2.579591,new_3000_dataset/erdos_n3000_p0c0.2_3.graph
0.2,4,38,0.453443,new_3000_dataset/erdos_n3000_p0c0.2_4.graph
0.2,5,39,0.273273,new_3000_dataset/erdos_n3000_p0c0.2_5.graph
0.2,6,38,2.502387,new_3000_dataset/erdos_n3000_p0c0.2_6.graph
0.2,7,38,0.164015,new_3000_dataset/erdos_n3000_p0c0.2_7.graph
0.2,8,38,1.237177,new_3000_dataset/erdos_n3000_p0c0.2_8.graph
0.2,9,38,0.173863,new_3000_dataset/erdos_n3000_p0c0.2_9.graph
0.2,10,36,0.047335,new_3000_dataset/erdos_n3000_p0c0.2_10.graph
0.2,11,37,0.027577,new_3000_dataset/erdos_n3000_p0c0.2_11.graph
0.2,12,38,0.019405,new_3000_dataset/erdos_n3000_p0c0.2_12.graph
0.2,13,39,0.592281,new_3000_dataset/erdos_n3000_p0c0.2_13.graph
0.2,14,37,0.050272,new_3000_dataset/erdos_n3000_p0c0.2_14.graph
0.2,15,38,4.227598,new_3000_dataset/erdos_n3000_p0c0.2_15.graph
0.2,16,36,3.357993,new_3000_dataset/erdos_n3000_p0c0.2_16.graph
0.2,17,38,5.781850,new_3000_dataset/erdos_n3000_p0c0.2_17.graph
0.2,18,38,0.619285,new_3000_dataset/erdos_n3000_p0c0.2_18.graph
0.2,19,38,1.862305,new_3000_dataset/erdos_n3000_p0c0.2_19.graph
0.2,20,37,0.014863,new_3000_dataset/erdos_n3000_p0c0.2_20.graph
0.2,21,36,0.179057,new_3000_dataset/erdos_n3000_p0c0.2_21.graph
0.2,22,39,5.024572,new_3000_dataset/erdos_n3000_p0c0.2_22.graph
0.2,23,39,1.197783,new_3000_dataset/erdos_n3000_p0c0.2_23.graph
0.2,24,38,0.237288,new_3000_dataset/erdos_n3000_p0c0.2_24.graph
0.2,25,37,0.967407,new_3000_dataset/erdos_n3000_p0c0.2_25.graph
0.2,26,38,0.349100,new_3000_dataset/erdos_n3000_p0c0.2_26.graph
0.2,27,38,0.078757,new_3000_dataset/erdos_n3000_p0c0.2_27.graph
0.2,28,37,0.084462,new_3000_dataset/erdos_n3000_p0c0.2_28.graph
0.2,29,38,0.993250,new_3000_dataset/erdos_n3000_p0c0.2_29.graph
0.2,30,36,1.123355,new_3000_dataset/erdos_n3000_p0c0.2_30.graph
0.3,1,25,1.884738,new_3000_dataset/erdos_n3000_p0c0.3_1.graph
0.3,2,26,0.947843,new_3000_dataset/erdos_n3000_p0c0.3_2.graph
0.3,3,26,0.228624,new_3000_dataset/erdos_n3000_p0c0.3_3.graph
0.3,4,25,0.256923,new_3000_dataset/erdos_n3000_p0c0.3_4.graph
0.3,5,24,0.177744,new_3000_dataset/erdos_n3000_p0c0.3_5.graph
0.3,6,26,1.957265,new_3000_dataset/erdos_n3000_p0c0.3_6.graph
0.3,7,25,0.216071,new_3000_dataset/erdos_n3000_p0c0.3_7.graph
0.3,8,25,0.569978,new_3000_dataset/erdos_n3000_p0c0.3_8.graph
0.3,9,26,7.025465,new_3000_dataset/erdos_n3000_p0c0.3_9.graph
0.3,10,25,0.104616,new_3000_dataset/erdos_n3000_p0c0.3_10.graph
0.3,11,25,0.778364,new_3000_dataset/erdos_n3000_p0c0.3_11.graph
0.3,12,25,1.093853,new_3000_dataset/erdos_n3000_p0c0.3_12.graph
0.3,13,26,2.943640,new_3000_dataset/erdos_n3000_p0c0.3_13.graph
0.3,14,25,6.045972,new_3000_dataset/erdos_n3000_p0c0.3_14.graph
0.3,15,25,0.184351,new_3000_dataset/erdos_n3000_p0c0.3_15.graph
0.3,16,25,1.162266,new_3000_dataset/erdos_n3000_p0c0.3_16.graph
