densidad,idx,solucion,tiempo,archivo
0.1,1,69,0.0980979,new_3000_dataset/erdos_n3000_p0c0.1_1.graph
0.1,2,67,0.0823362,new_3000_dataset/erdos_n3000_p0c0.1_2.graph
0.1,3,64,0.0822577,new_3000_dataset/erdos_n3000_p0c0.1_3.graph
0.1,4,66,0.0873269,new_3000_dataset/erdos_n3000_p0c0.1_4.graph
0.1,5,64,0.0800886,new_3000_dataset/erdos_n3000_p0c0.1_5.graph
0.1,6,66,0.0811906,new_3000_dataset/erdos_n3000_p0c0.1_6.graph
0.1,7,67,0.0775462,new_3000_dataset/erdos_n3000_p0c0.1_7.graph
0.1,8,67,0.0802418,new_3000_dataset/erdos_n3000_p0c0.1_8.graph
0.1,9,67,0.0848748,new_3000_dataset/erdos_n3000_p0c0.1_9.graph
0.1,10,65,0.0836234,new_3000_dataset/erdos_n3000_p0c0.1_10.graph
0.1,11,67,0.0868378,new_3000_dataset/erdos_n3000_p0c0.1_11.graph
0.1,12,69,0.0856497,new_3000_dataset/erdos_n3000_p0c0.1_12.graph
0.1,13,66,0.0829987,new_3000_dataset/erdos_n3000_p0c0.1_13.graph
0.1,14,70,0.116831,new_3000_dataset/erdos_n3000_p0c0.1_14.graph
0.1,15,67,0.0892831,new_3000_dataset/erdos_n3000_p0c0.1_15.graph
0.1,16,70,0.0775529,new_3000_dataset/erdos_n3000_p0c0.1_16.graph
0.1,17,69,0.155551,new_3000_dataset/erdos_n3000_p0c0.1_17.graph
0.1,18,65,0.108451,new_3000_dataset/erdos_n3000_p0c0.1_18.graph
0.1,19,66,0.108962,new_3000_dataset/erdos_n3000_p0c0.1_19.graph
0.1,20,66,0.0825172,new_3000_dataset/erdos_n3000_p0c0.1_20.graph
0.1,21,66,0.0998245,new_3000_dataset/erdos_n3000_p0c0.1_21.graph
0.1,22,65,0.115013,new_3000_dataset/erdos_n3000_p0c0.1_22.graph
0.1,23,68,0.0826711,new_3000_dataset/erdos_n3000_p0c0.1_23.graph
0.1,24,63,0.0893469,new_3000_dataset/erdos_n3000_p0c0.1_24.graph
0.1,25,70,0.0947801,new_3000_dataset/erdos_n3000_p0c0.1_25.graph
