densidad,idx,solucion,tiempo,archivo
0.1,1,71,0.0875477,new_3000_dataset/erdos_n3000_p0c0.1_1.graph
0.1,2,71,0.085198,new_3000_dataset/erdos_n3000_p0c0.1_2.graph
0.1,3,69,0.0842027,new_3000_dataset/erdos_n3000_p0c0.1_3.graph
0.1,4,69,0.0852066,new_3000_dataset/erdos_n3000_p0c0.1_4.graph
0.1,5,70,0.0862706,new_3000_dataset/erdos_n3000_p0c0.1_5.graph
0.1,6,68,0.0843474,new_3000_dataset/erdos_n3000_p0c0.1_6.graph
0.1,7,73,0.0842599,new_3000_dataset/erdos_n3000_p0c0.1_7.graph
0.1,8,70,0.0855755,new_3000_dataset/erdos_n3000_p0c0.1_8.graph
0.1,9,72,0.0858928,new_3000_dataset/erdos_n3000_p0c0.1_9.graph
0.1,10,71,0.0899292,new_3000_dataset/erdos_n3000_p0c0.1_10.graph
0.1,11,70,0.0861682,new_3000_dataset/erdos_n3000_p0c0.1_11.graph
0.1,12,71,0.0869968,new_3000_dataset/erdos_n3000_p0c0.1_12.graph
0.1,13,70,0.0818196,new_3000_dataset/erdos_n3000_p0c0.1_13.graph
0.1,14,68,0.0908234,new_3000_dataset/erdos_n3000_p0c0.1_14.graph
0.1,15,74,0.0974148,new_3000_dataset/erdos_n3000_p0c0.1_15.graph
0.1,16,71,0.109627,new_3000_dataset/erdos_n3000_p0c0.1_16.graph
0.1,17,72,0.113699,new_3000_dataset/erdos_n3000_p0c0.1_17.graph
0.1,18,70,0.102389,new_3000_dataset/erdos_n3000_p0c0.1_18.graph
0.1,19,70,0.100604,new_3000_dataset/erdos_n3000_p0c0.1_19.graph
0.1,20,69,0.0903928,new_3000_dataset/erdos_n3000_p0c0.1_20.graph
0.1,21,72,0.103741,new_3000_dataset/erdos_n3000_p0c0.1_21.graph
0.1,22,70,0.0836293,new_3000_dataset/erdos_n3000_p0c0.1_22.graph
0.1,23,73,0.0883946,new_3000_dataset/erdos_n3000_p0c0.1_23.graph
0.1,24,70,0.0814673,new_3000_dataset/erdos_n3000_p0c0.1_24.graph
